popDensity,unemployRate,medianAge,percentOfPopOver65,medianWorkerEarning,percentOfPopWithBADegreeOrHigher,percentOfPop_passedHighSchool,percentOfPopInEducation,percentOfPopInSciOrEngineering,percentOfPop_WhitePlus,percentOfPop_Black,percentOfPop_AsianPlus,percentOfPop_Other
91.44,1.00,28.80,9.41,40781.00,18.55,84.70,2.86,9.76,30.60,3.00,3.40,76.90
243.07,1.00,35.70,21.28,35262.00,8.45,72.35,2.75,4.28,88.20,0.00,2.90,18.70
701.50,0.50,37.50,19.17,34471.00,25.85,86.16,4.74,9.08,73.20,23.90,3.20,6.80
140.57,0.00,35.20,11.45,26586.00,6.64,65.17,1.28,2.91,74.30,9.50,3.10,19.40
2380.13,0.50,33.50,14.52,38010.00,25.21,83.31,3.08,10.48,75.50,8.40,4.70,19.30
1274.69,0.00,37.20,17.83,35377.00,34.72,87.40,4.05,15.48,52.40,42.90,3.70,5.90
1351.44,0.00,40.10,19.58,97381.00,64.69,93.80,2.41,39.95,47.90,3.30,50.80,7.50
6407.33,1.00,35.80,15.90,32036.00,29.80,78.03,1.50,12.74,55.30,10.00,13.20,29.00
3651.91,0.00,34.60,14.85,46258.00,47.16,90.15,2.56,21.70,79.40,10.70,4.90,12.50
1.18,0.00,38.40,65.70,26020.00,52.59,85.60,16.27,19.79,85.40,6.70,0.60,10.20
2449.47,1.00,39.60,20.04,38073.00,17.19,86.58,2.17,6.34,76.80,15.90,2.70,17.50
4101.47,1.00,35.80,16.78,35477.00,19.88,85.98,2.15,9.03,67.40,23.20,5.00,12.80
879.85,0.00,28.20,24.27,26044.00,12.74,86.55,1.42,6.58,57.60,45.70,2.20,6.40
858.94,0.00,37.20,25.60,35008.00,21.46,82.29,3.38,8.06,69.70,25.80,3.10,15.10
1966.68,0.50,33.90,13.93,31307.00,36.12,91.85,3.28,16.52,63.40,27.00,5.20,11.10
255.28,0.00,31.60,24.31,23928.00,9.86,65.26,2.71,4.00,90.70,12.10,0.90,12.30
2917.07,1.00,33.20,13.86,43826.00,45.00,93.69,2.62,19.06,42.10,53.20,5.10,4.70
317.02,0.50,33.80,8.23,45000.00,21.44,80.50,2.50,6.10,65.50,35.80,2.80,6.60
615.04,0.00,50.10,38.73,32279.00,48.65,96.36,6.15,22.60,89.00,0.20,12.30,30.40
122.44,0.50,42.10,33.41,25089.00,10.67,87.94,3.94,3.71,94.70,0.00,0.00,5.30
2130.77,0.50,37.90,19.48,35022.00,38.07,76.12,3.09,18.65,92.10,2.70,4.50,7.40
9408.92,1.00,34.90,15.88,40088.00,33.84,84.58,2.48,14.02,51.60,31.20,7.40,15.30
1256.34,0.00,42.30,20.40,32383.00,23.60,87.16,7.51,10.82,99.20,0.00,1.40,0.60
1362.87,1.00,36.30,21.97,27099.00,13.69,82.23,2.50,4.73,90.00,6.00,0.60,9.50
1424.62,0.50,35.40,22.19,29949.00,18.18,75.74,4.52,7.09,92.10,4.60,1.70,9.10
495.80,0.50,52.50,32.54,29167.00,14.58,94.58,6.78,4.41,99.40,1.20,0.00,2.40
579.37,0.00,41.60,29.89,35224.00,22.13,87.07,5.72,7.56,97.40,1.40,0.70,3.30
479.70,0.00,43.80,30.00,30729.00,13.85,75.38,4.62,6.92,97.90,7.50,0.00,5.50
1105.65,1.00,37.40,20.47,22401.00,14.13,77.50,3.31,4.17,82.10,14.40,0.90,6.80
1165.29,1.00,47.80,28.72,28235.00,11.77,86.10,2.20,7.09,98.90,0.80,0.00,1.00
1795.47,1.00,36.60,17.29,30923.00,17.13,78.91,2.41,7.39,67.20,26.80,1.10,12.40
911.60,1.00,37.30,18.04,31346.00,32.47,85.44,2.77,13.77,35.60,60.80,3.30,4.10
145.56,0.50,48.90,32.41,31673.00,36.76,93.34,5.44,14.23,97.60,1.70,0.00,3.20
